StockBalanceDate|DepartmentCode|IdDepartment|InvoiceNum|InvoiceDate|GoodsCode|Quantity|PriceWholeBuy|PVatWholeBuy|PriceWholebuyWithoutVat|PriceRetail|PVatWholeRetail|PriceRetailWithoutVat|IdStore|SupplierCode|BestBefore|Series|Barcode|KIZ|GTIN|SGTIN|DateProduction
2021-10-26 00:00:00||10000|12603-Q5073|2017-03-26 00:00:00|9F668EB7-0ED9-4634-AD83-0C097F779C57|1.0|67.46|6.13|61.33|79|7.18|71.82|10000|3|2021-10-01 00:00:00|2450916|4602509000268||||
2021-10-26 00:00:00||10000|1196|2017-03-27 12:49:33|4064B0E6-99BF-4527-BBF2-32437A6D5F6F|3.0|300|0|300|550|0|550|10000|12|||||||
2021-10-26 00:00:00||10000|322164-17|2017-06-13 00:00:00|EFCFBA01-A09F-42EB-8F52-4768B31F3C05|1.0|641.92|97.92|544|760|115.93|644.07|10000|4|1899-12-30 00:00:00|***|4640018990298||||
2021-10-26 00:00:00||10000|12606-QM761|2017-06-26 00:00:00|AEABC682-4A58-4BC7-ADDE-09C908D1F0C8|1.0|3463.29|314.84|3148.45|3820|347.27|3472.73|10000|3|2022-01-01 00:00:00|081216|4670008161919||||
2021-10-26 00:00:00||10000|78364587-001|2017-07-07 00:00:00|84C38112-AB8F-49F6-AEB9-90129D10B8CB|1.0|153.45|13.95|139.5|188|17.09|170.91|10000|26|2021-12-01 00:00:00|0101216|4607143560604||||
2021-10-26 00:00:00||10000|03321571|2017-08-10 00:00:00|E90EE8C3-F0C1-4D67-9F3C-BC023A634CC1|1.0|72.8|11.11|61.69|88|13.42|74.58|10000|9|2022-03-09 00:00:00|0317|5999518577591||||
2021-10-26 00:00:00||10000|2174|2017-09-06 12:33:25|F48877E2-95A9-4390-9C49-A5D5EC91CDB9|1.0|39|0|39|90|0|90|10000|8|||||||
2021-10-26 00:00:00||10000|2723|2017-11-29 10:20:12|F48877E2-95A9-4390-9C49-A5D5EC91CDB9|1.0|220|0|220|430|0|430|10000|12|||||||
2021-10-26 00:00:00||10000|715317-17|2017-12-24 00:00:00|F6E76FD9-5E60-4C66-BA1C-8D57015B60EE|1.0|713.11|64.83|648.28|835|75.91|759.09|10000|4|2022-03-02 00:00:00|YY01HEK|4260085520329||||
2021-10-26 00:00:00||10000|9505|2018-04-05 00:00:00|BC54718F-F674-416D-9292-0B389432A114|1.0|13.28|0|13.28|32|0|32|10000|7|2022-10-01 00:00:00|331|||||
2021-10-26 00:00:00||10000|03503577|2018-04-26 00:00:00|FABA18F5-1734-420B-B54B-74F590BC0C70|1.0|252.83|22.98|229.85|320|29.09|290.91|10000|9|2022-09-01 00:00:00|03|4610004310591||||
2021-10-26 00:00:00||10000|269075-17|2018-05-06 00:00:00|72D26FBB-2A8D-4C85-A31B-B07683B677D4|1.0|60.54|5.5|55.04|80|7.27|72.73|10000|4|1899-12-30 00:00:00|***|||||
2021-10-26 00:00:00||10000|92476315-001|2018-05-30 00:00:00|BCB99AA0-EDF6-40AA-9C98-1806994ABF0B|1.0|193.95|17.63|176.32|253|23|230|10000|26|2021-10-01 00:00:00|17K24-3790|8717185941807||||
2021-10-26 00:00:00||10000|11306-QS202|2018-06-13 00:00:00|38D7773A-55BD-4211-8D86-DCCD9024EAD8|2.0|51.37|4.67|46.7|68.2|6.2|62|10000|3|2023-05-01 00:00:00|10418|4602824007676||||
2021-10-26 00:00:00||10000|388055-17|2018-07-01 00:00:00|11FFC22F-76F4-4000-B1D0-A4630E80ED47|1.0|239.81|36.58|203.23|336|51.25|284.75|10000|4|1899-12-30 00:00:00|***|4690624013737||||
2021-10-26 00:00:00||10000|782469|2018-07-10 00:00:00|B78104BE-14AE-4712-8A0A-D94B930B5CD7|1.0|62.27|9.5|52.77|86|13.12|72.88|10000|11|2022-02-01 00:00:00|022017|4602666731401||||
2021-10-26 00:00:00||10000|КЗН00367834|2018-07-11 00:00:00|74C4E5D8-3A43-412F-B9F2-E564570D3BD8|1.0|603.1|54.83|548.27|725|65.91|659.09|10000|5|2022-11-01 00:00:00|31017|4602824022518||||
2021-10-26 00:00:00||10000|679097-17|2018-10-30 00:00:00|F339BD87-419A-4A16-B847-525D13BAE9A2|1.0|378.45|34.4|344.05|453|41.18|411.82|10000|4|2022-11-01 00:00:00|WEP9VV|4013742004423||||
2021-10-26 00:00:00||10000|КЗН00604667|2018-11-05 00:00:00|C95282D0-88D7-44CD-9A1B-A14EB38F8CDE|1.0|208.46|18.95|189.51|252|22.91|229.09|10000|5|2023-02-01 00:00:00|808011|4030031898341||||
2021-10-26 00:00:00||10000|739419-17|2018-11-20 00:00:00|E7382902-934E-4A44-8323-C06DEFFC8F8A|1.0|382.8|34.8|348|482|43.82|438.18|10000|4|2023-08-01 00:00:00|082023|4750283035102||||
2021-10-26 00:00:00||10000|КЗН00660430|2018-12-02 00:00:00|897ACA19-2366-48C8-B563-10B12B192E38|1.0|395.2|35.93|359.27|470|42.73|427.27|10000|5|2023-02-01 00:00:00|93310218|4610017700884||||
2021-10-26 00:00:00||10000|100659081-001|2018-12-04 00:00:00|6AB68D06-7F13-4952-9CB3-F44F2ADCC854|1.0|611.41|55.58|555.83|720|65.45|654.55|10000|26|2023-05-01 00:00:00|18F226|4030674000507||||
2021-10-26 00:00:00||10000|5100|2018-12-18 11:26:39|F48877E2-95A9-4390-9C49-A5D5EC91CDB9|4.0|220|0|220|480|0|480|10000|12|||||||
2021-10-26 00:00:00||10000|102216700-001|2019-01-09 00:00:00|53F1E728-333A-490F-A7CA-0E03424DEFA0|1.0|543.86|49.44|494.42|637|57.91|579.09|10000|26|2021-08-01 00:00:00|83027A|4013054008782||||
2021-10-26 00:00:00||10000|39928-17|2019-01-16 00:00:00|C5BD0990-4104-4974-93C6-DA93EF3ECAEA|1.0|39.07|6.51|32.56|70|11.67|58.33|10000|4|2023-01-10 00:00:00|012023|4605658170448||||
2021-10-26 00:00:00||10000|102911152-001|2019-01-23 00:00:00|53876898-46B1-4783-AE24-6D88761F38C3|1.0|242.4|22.04|220.36|291|26.45|264.55|10000|26|2023-04-01 00:00:00|815071|4030031895852||||
2021-10-26 00:00:00||10000|Р-2539144|2019-02-21 00:00:00|9A9EDD95-1FA1-4F2F-BD1A-14FF229950CA|1.0|414.48|37.68|376.8|490|44.55|445.45|10000|6|2023-01-31 00:00:00|83217|4601654000376||||
2021-10-26 00:00:00||10000|19-0-31909|2019-03-01 00:00:00|62585D2A-EE51-45C9-A1A6-498C015CF95C|1.0|160.93|14.63|146.3|194|17.64|176.36|10000|13|2022-01-01 00:00:00|191218|4605180006123||||
2021-10-26 00:00:00||10000|210351-17|2019-03-04 00:00:00|0A3E9624-5FD2-455E-A25B-778A34223A70|1.0|371.68|33.79|337.89|435|39.55|395.45|10000|4|2022-09-01 00:00:00|17384|1094922319653||||
2021-10-26 00:00:00||10000|272283-17|2019-03-24 00:00:00|11398CEB-D4D6-4080-97DC-409466FD75C5|1.0|81.24|7.39|73.85|106|9.64|96.36|10000|4|2021-11-01 00:00:00|041018|4601214003113||||
2021-10-26 00:00:00||10000|КЗН00175390|2019-03-27 00:00:00|B4C2FCCB-264E-45FE-B3D9-A489A228BE30|1.0|49.67|4.52|45.15|70|6.36|63.64|10000|5|2022-01-01 00:00:00|61218|4601498003908||||
2021-10-26 00:00:00||10000|107114384-001|2019-04-10 00:00:00|5771692D-F617-486F-81FE-2A1A6EC64E32|1.0|110.78|18.46|92.32|149|24.83|124.17|10000|26|2022-02-01 00:00:00|1/010219|4607001340027||||
2021-10-26 00:00:00||10000|3461|2018-03-30 08:53:55|E11274C1-7CD0-4A18-A9FE-3B6CBEB27AF9|1.0|90|0|90|240|0|240|10000|8|||||||
2021-10-26 00:00:00||10000|03614634|2019-04-18 00:00:00|230B4200-BCBD-44F3-9265-E27145A678A9|5.0|30.32|5.05|25.27|43|7.17|35.83|10000|9|2021-06-01 00:00:00|0717|4670017920484||||
